3,1,199.24,181.10,74.07,72.32,1,-1,-1,-1
3,2,138.44,289.60,119.12,70.15,1,-1,-1,-1
3,3,24.67,83.86,30.87,18.28,1,-1,-1,-1
3,4,116.89,79.30,27.30,18.20,1,-1,-1,-1
3,5,144.31,77.85,22.68,18.72,1,-1,-1,-1
3,6,160.94,74.42,18.38,15.01,1,-1,-1,-1
3,7,183.76,76.98,21.51,17.89,1,-1,-1,-1
3,8,368.60,72.80,29.18,24.47,1,-1,-1,-1
3,9,215.23,51.99,8.52,12.04,1,-1,-1,-1
3,10,173.33,65.86,18.07,17.21,1,-1,-1,-1
4,1,199.13,180.80,74.60,72.89,1,-1,-1,-1
4,2,138.71,289.61,118.94,70.14,1,-1,-1,-1
4,3,24.72,83.95,30.71,18.16,1,-1,-1,-1
4,4,116.94,79.31,27.25,18.17,1,-1,-1,-1
4,5,144.23,77.85,22.41,18.44,1,-1,-1,-1
4,6,160.93,74.41,18.45,15.08,1,-1,-1,-1
4,7,183.78,76.93,21.49,17.95,1,-1,-1,-1
4,8,368.56,72.86,28.95,24.38,1,-1,-1,-1
4,9,214.95,52.52,8.31,11.60,1,-1,-1,-1
4,10,173.21,65.52,18.45,17.59,1,-1,-1,-1
5,1,199.24,181.02,74.49,72.82,1,-1,-1,-1
5,2,138.77,289.61,118.77,70.15,1,-1,-1,-1
5,3,24.75,84.00,30.69,18.12,1,-1,-1,-1
5,4,117.07,79.40,27.14,18.10,1,-1,-1,-1
5,5,144.51,77.76,21.79,17.87,1,-1,-1,-1
5,6,160.86,74.42,18.49,15.14,1,-1,-1,-1
5,7,183.65,76.96,21.33,17.92,1,-1,-1,-1
5,8,368.59,72.88,28.72,24.30,1,-1,-1,-1
5,9,214.62,52.80,8.30,11.38,1,-1,-1,-1
5,10,173.23,65.50,18.45,17.62,1,-1,-1,-1
6,1,199.47,181.27,74.12,72.48,1,-1,-1,-1
6,2,138.73,289.63,118.54,70.12,1,-1,-1,-1
6,3,24.68,83.92,30.85,18.19,1,-1,-1,-1
6,4,117.17,79.46,26.97,17.99,1,-1,-1,-1
6,5,144.00,77.69,22.58,18.48,1,-1,-1,-1
6,6,160.78,74.34,18.52,15.18,1,-1,-1,-1
6,7,183.64,76.99,21.13,17.87,1,-1,-1,-1
6,8,368.68,72.91,28.61,24.32,1,-1,-1,-1
6,9,214.38,52.73,8.57,11.55,1,-1,-1,-1
6,10,173.24,65.59,18.32,17.52,1,-1,-1,-1
7,1,199.45,181.35,74.02,72.40,1,-1,-1,-1
7,2,138.77,289.62,118.35,70.14,1,-1,-1,-1
7,3,24.62,83.88,30.97,18.24,1,-1,-1,-1
7,4,117.21,79.33,26.98,17.99,1,-1,-1,-1
7,5,143.96,77.65,22.38,18.22,1,-1,-1,-1
7,6,160.77,74.21,18.60,15.29,1,-1,-1,-1
7,7,183.89,77.16,20.87,17.75,1,-1,-1,-1
